Field=#~Integer~#~50|Field=Comment~String~Comment~69|Field=Description~String~Description~99|Field=Designator~String~Designator~97|Field=Quantity~Integer~Quantity~84|Field=Manufacturer 1~String~Manufacturer 1~119|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~186|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~164|Field=Supplier 1~String~Supplier 1~92|Field=Supplier Part Number 1~String~Supplier Part Number 1~159|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~144|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~139|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~AIRZAI_LID_BD_REVB.PrjPcb|ReportField=ProjectFullPath~C:\Users\kashif\OneDrive - Airzai\Airzai\Design Data\Airzai Schematics Design\LID Board\Latest Design\AIRZAI_LID_BD_REVB (28-1-2019 2-17-03 AM)\AIRZAI_LID_BD_REVB.PrjPcb|ReportField=Title~Bill of Materials For Project [AIRZAI_LID_BD_REVB.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~5:26:16 PM|ReportField=ReportDate~2/27/2019|ReportField=ReportDateTime~2/27/2019 5:26:16 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~77|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2/27/2019|ReportField=CurrentTime~5:24:23 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\kashif\OneDrive - Airzai\Airzai\Design Data\Airzai Schematics Design\LID Board\Latest Design\AIRZAI_LID_BD_REVB (28-1-2019 2-17-03 AM)\AIRZAI_LID_BD_REVB Sheet1.SchDoc|ReportField=DocumentName~AIRZAI_LID_BD_REVB Sheet1.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2/23/2019|ReportField=Organization~|ReportField=ProjectName~AIRZAI_LID_BD_REVB.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~AIRZAI_LID_BD_REVB.PrjPcb|ReportField=DataSourceFullPath~C:\Users\kashif\OneDrive - Airzai\Airzai\Design Data\Airzai Schematics Design\LID Board\Latest Design\AIRZAI_LID_BD_REVB (28-1-2019 2-17-03 AM)\AIRZAI_LID_BD_REVB.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
34|RMCF0402JT4K70|Chip Resistor, 4.7 KOhm, +/- 5%, 0.063 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel|R17|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key|{URL}{URL.TEXT}RMCF0402JT4K70TR-ND{URL.TIP}Supplier||
35|120K|120K 0.063W 1% 0402 (1005 Metric)  SMD|R18|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key|{URL}{URL.TEXT}311-120KJRTR-ND{URL.TIP}Supplier||
36|0R|Resistor, ±1%, 0.063W|R19|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key|{URL}{URL.TEXT}P0.0JTR-ND{URL.TIP}Supplier||
37|51K1 1% 0402(1005)|51K1 0.063W 1% 0402 (1005 Metric)  SMD|R20|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key|{URL}{URL.TEXT}541-51.1KLDKR-ND{URL.TIP}Supplier||
38|47K 1%|47K 0.063W 1% 0402 (1005 Metric)  SMD|R21|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key|{URL}{URL.TEXT}P47.0KLTR-ND{URL.TIP}Supplier||
39|12K 5%|12K 0.063W 5% 0402 (1005 Metric)  SMD|R22|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key|{URL}{URL.TEXT}311-12KJRTR-ND{URL.TIP}Supplier||
40|20K5|20K5 0.063W 1% 0402 (1005 Metric)  SMD|R23|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key|{URL}{URL.TEXT}541-20.5KLDKR-ND{URL.TIP}Supplier||
41|560K|560K 0.063W 1% 0402 (1005 Metric)  SMD|R24|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key|{URL}{URL.TEXT}541-560KLDKR-ND{URL.TIP}Supplier||
42|10K|10K 0.063W 5% 0402 (1005 Metric)  SMD|R25|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key|{URL}{URL.TEXT}541-10KJCT-ND{URL.TIP}Supplier||
43|0R|Resistor, ±1%, 0.063W|R26|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key|{URL}{URL.TEXT}P0.0JTR-ND{URL.TIP}Supplier||
44|10K 1% 0402(1005)|10K 0.063W 1% 0402 (1005 Metric)  SMD|R34|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key|{URL}{URL.TEXT}RR05P10.0KDTR-ND{URL.TIP}Supplier||
